WALK NAME,REGION,DIFFICULTY,DISTANCE (KM),AVERAGE DAYS
Anglesey,WALES,3,200,8
Ayrshire,SCOTLAND,2,160,6
Berwickshire,SCOTLAND,2,38,2
Bournemouth,ENGLAND,5,59,2
Causeway,IRELAND,3,53,2
Ceredigion,WALES,3,96,4
Cumbria,ENGLAND,2,291,12
Durham,ENGLAND,1,18,1
Fife,SCOTLAND,3,128,5
Isle of Man,ENGLAND,2,152,6
Lancashire,ENGLAND,1,106,4
Meirionnydd,WALES,2,115,5
Northumberland,ENGLAND,2,102,4
Peddars Way,ENGLAND,2,149,6
Pembroke,WALES,5,298,12
Saxon Shore,ENGLAND,2,261,10
Sefton,ENGLAND,1,34,1
Suffolk,ENGLAND,2,80,3
